id_cidade|cidade|uf|cod_ibge|area|id_municipio_subordinado
1|Acrelândia|AC|1200013|0.0|0
2|Assis Brasil|AC|1200054|0.0|0
3|Brasiléia|AC|1200104|0.0|0
4|Bujari|AC|1200138|0.0|0
5|Capixaba|AC|1200179|0.0|0
6|Cruzeiro do Sul|AC|1200203|0.0|0
7|Epitaciolândia|AC|1200252|0.0|0
8|Feijó|AC|1200302|0.0|0
9|Jordão|AC|1200328|0.0|0
10|Mâncio Lima|AC|1200336|0.0|0
11|Manoel Urbano|AC|1200344|0.0|0
12|Marechal Thaumaturgo|AC|1200351|0.0|0
13|Plácido de Castro|AC|1200385|0.0|0
14|Porto Acre|AC|1200807|0.0|0
15|Porto Walter|AC|1200393|0.0|0
16|Rio Branco|AC|1200401|0.0|0
17|Rodrigues Alves|AC|1200427|0.0|0
18|Santa Rosa do Purus|AC|1200435|0.0|0
19|Sena Madureira|AC|1200500|0.0|0
20|Senador Guiomard|AC|1200450|0.0|0
21|Tarauacá|AC|1200609|0.0|0
22|Xapuri|AC|1200708|0.0|0
23|Água Branca|AL|2700102|0.0|0
25|Limoeiro|AL||0.0|136
26|Anadia|AL|2700201|0.0|0
27|Anel|AL||0.0|188
28|Anum Novo|AL||0.0|135
29|Anum Velho|AL||0.0|135
30|Arapiraca|AL|2700300|0.0|0
31|Atalaia|AL|2700409|0.0|0
32|Baixa da Onça|AL||0.0|30
33|Baixa do Capim|AL||0.0|30
34|Bálsamo|AL||0.0|30
35|Bananeiras|AL||0.0|30
36|Barra de Santo Antônio|AL|2700508|0.0|0
37|Barra de São Miguel|AL|2700607|0.0|0
38|Barra do Bonifácio|AL||0.0|135
39|Barra Grande|AL||0.0|112
40|Batalha|AL|2700706|0.0|0
42|Belém|AL|2700805|0.0|0
43|Belo Monte|AL|2700904|0.0|0
44|Boa Sorte|AL||0.0|135
46|Boa Vista|AL||0.0|135
47|Boca da Mata|AL|2701001|0.0|0
48|Bom Jardim|AL||0.0|30
49|Bonifácio|AL||0.0|135
50|Branquinha|AL|2701100|0.0|0
51|Cacimbinhas|AL|2701209|0.0|0
52|Cajarana|AL||0.0|30
53|Cajueiro|AL|2701308|0.0|0
54|Caldeirões de Cima|AL||0.0|135
