id_bairro|bairro|id_cidade
1|Abraão Alab|16
2|Adalberto Aragão|16
3|Aeroporto Velho|16
5|Areal|16
6|Aviário|16
7|Bahia Velha|16
8|Bahia Nova|16
9|Baixa da Colina|16
10|Base|16
12|Bosque|16
13|Cidade Nova|16
14|Cadeia Velha|16
15|Calafate|16
16|Capoeira|16
17|Centro|16
18|Cerâmica|16
19|Chácara Ipê|16
20|Conquista|16
22|Distrito Industrial|16
24|Estação Experimental|16
25|Floresta Sul|16
26|Geraldo Fleming|16
27|Ipase|16
28|Ivete Vargas|16
29|Isaura Parente|16
30|Jardim de Alah|16
31|Jardim Europa|16
32|José Augusto|16
33|João Eduardo I|16
36|Morada do Sol|16
37|Nova Estação|16
38|Novo Horizonte|16
39|Palheiral|16
40|Papouco|16
41|Placas|16
42|Plácido de Castro|16
43|Preventório|16
45|Quinze|16
46|Santa Inês|16
47|Santa Quitéria|16
48|São Francisco|16
50|Seis de Agosto|16
51|Sobral|16
52|Tancredo Neves|16
53|Taquarí|16
55|Triângulo Novo|16
57|Vila Acre|16
59|Alto do Cruzeiro|30
60|Baixa Grande|30
61|Baixão|30
62|Boa Vista|30
63|Brasília|30
64|Brasiliana|30
65|Cacimbas|30
66|Caititus|30
67|Canafístula|30
68|Capiatã|30
69|Cavaco|30
70|Centro|30
71|Eldorado|30
72|Guaribas|30
73|Itapoã|30
74|Jardim Esperança|30
75|Jardim Tropical|30
76|Manuel Teles|30
77|Nova Esperança|30
78|Novo Horizonte|30
79|Olho D'Água dos Cazuzinhas|30
80|Ouro Preto|30
81|Planalto|30
82|Zélia Barbosa Rocha|30
83|Primavera|30
84|Santa Edwiges|30
85|Santa Esmeralda|30
86|São Luiz|30
87|Senador Arnon de Melo|30
88|Senador Teotônio Vilela|30
89|Verdes Campos|30
90|Santos Dumont|109
91|Antares|109
92|Barro Duro|109
93|Bebedouro|109
95|Benedito Bentes|109
96|Bom Parto|109
97|Canaã|109
98|Centro|109
99|Chã da Jaqueira|109
100|Cruz das Almas|109
101|Farol|109
102|Feitosa|109
103|Fernão Velho|109
104|Ipioca|109
105|Gruta de Lourdes|109
107|Jacarecica|109
108|Jacintinho|109
109|Jaraguá|109
110|Jatiúca|109
111|Levada|109
112|Mangabeiras|109
113|Mutange|109
114|Ouro Preto|109
115|Pajuçara|109
116|Pinheiro|109
117|Pitanguinha|109
118|Poço|109
119|Ponta da Terra|109
120|Ponta Grossa|109
121|Ponta Verde|109
122|Pontal da Barra|109
123|Prado|109
124|Riacho Doce|109
125|Rio Novo|109
126|Santa Amélia|109
128|Serraria|109
129|Tabuleiro do Martins|109
130|Trapiche da Barra|109
131|Vergel do Lago|109
132|Alto do Cruzeiro|135
133|Centro|135
134|Sonho Verde|135
135|Jardim Brasil|135
136|Juca Sampaio|135
137|Palmeira de Fora|135
138|Paraíso|135
139|Ribeira|135
140|São Cristóvão|135
141|São Francisco|135
142|Tenório Cavalcante|135
144|Vila Maria|135
146|Xucurus|135
147|Adrianópolis|243
148|Aleixo|243
149|Alvorada|243
150|Nossa Senhora Aparecida|243
151|Armando Mendes|243
152|Betânia|243
153|Cachoeirinha|243
154|Centro|243
155|Chapada|243
156|Cidade Nova|243
157|Colônia Antônio Aleixo|243
158|Colônia Oliveira Machado|243
159|Colônia Santo Antônio|243
160|Colônia Terra Nova|243
161|Compensa|243
162|Coroado|243
163|Crespo|243
164|Distrito Industrial I|243
165|Dom Pedro I|243
166|Educandos|243
167|Flores|243
168|Glória|243
169|Japiim|243
